"Pn kW";"b h,g 0,1";"b h,g 0,2";"b h,g 0,3";"b h,g 0,4";"b h,g 0,5";"b h,g 0,6";"b h,g 0,7";"b h,g 0,8";"b h,g 0,9";"b h,g 1,0"
5;1,013;1,019;1,024;1,042;1,061;1,079;1,098;1,117;1,135;1,154
10;1,011;1,017;1,023;1,041;1,059;1,077;1,096;1,114;1,132;1,15
20;1,01;1,016;1,022;1,04;1,057;1,075;1,093;1,111;1,129;1,147
30;1,009;1,016;1,021;1,039;1,056;1,074;1,092;1,109;1,127;1,145
40;1,009;1,015;1,021;1,038;1,056;1,073;1,091;1,108;1,126;1,143
50;1,009;1,015;1,02;1,038;1,055;1,073;1,09;1,107;1,125;1,142
60;1,008;1,015;1,02;1,037;1,055;1,072;1,089;1,107;1,124;1,141
70;1,008;1,014;1,02;1,037;1,054;1,072;1,089;1,106;1,123;1,14
80;1,008;1,014;1,02;1,037;1,054;1,071;1,088;1,105;1,122;1,14
90;1,008;1,014;1,02;1,037;1,054;1,071;1,088;1,105;1,122;1,139
100;1,008;1,014;1,019;1,036;1,053;1,07;1,087;1,104;1,121;1,138
120;1,008;1,014;1,019;1,036;1,053;1,07;1,087;1,104;1,121;1,138
140;1,008;1,014;1,019;1,036;1,053;1,069;1,086;1,103;1,12;1,137
160;1,007;1,013;1,019;1,036;1,052;1,069;1,086;1,103;1,119;1,136
180;1,007;1,013;1,019;1,035;1,052;1,069;1,085;1,102;1,119;1,135
200;1,007;1,013;1,019;1,035;1,052;1,068;1,085;1,102;1,118;1,135
250;1,007;1,013;1,018;1,035;1,051;1,068;1,084;1,101;1,117;1,134
300;1,007;1,013;1,018;1,034;1,051;1,067;1,084;1,1;1,117;1,133
350;1,007;1,012;1,018;1,034;1,05;1,067;1,083;1,099;1,116;1,132
400;1,007;1,012;1,018;1,034;1,05;1,066;1,083;1,099;1,115;1,131
