bbleistung_pellet_holzhackschnitzelkessel
ID;Pn kW;Pelletkessel kW;Hackschnitzelkessel kW
bph_5;<= 5;0,006;0,016
bph_10;10;0,007;0,016
bph_20;20;0,009;0,017
bph_30;30;0,011;0,018
bph_40;40;0,013;0,019
bph_50;50;0,015;0,02
bph_60;60;0,017;0,021
bph_70;70;0,019;0,022
bph_80;80;0,021;0,023
bph_90;90;0,023;0,024
bph_100;100;0,025;0,025
bph_120;120;0,029;0,027
bph_140;140;0,033;0,029
bph_160;160;0,037;0,031
bph_180;180;0,041;0,033
bph_200;200;0,045;0,035
bph_250;250;0,055;0,04
bph_300;300;0,065;0,045
bph_350;350;0,075;0,05
bph_400;400;0,085;0,055
