Bezeichnung (intern);Monat;T50 Ohne Teilbeheizung;T50 < 5W/m2;T50 10W/m2;T50 25W/m2;T50 50W/m2;T50 75W/m2;T50 100W/m2;T50 125W/m2;T50 > 150W/m2;T90 Ohne Teilbeheizung;T90 < 5W/m2;T90 10W/m2;T90 25W/m2;T90 90W/m2;T90 75W/m2;T90 100W/m2;T90 125W/m2;T90 > 150W/m2;T130 Ohne Teilbeheizung;T130 < 5W/m2;T130 10W/m2;T130 25W/m2;T130 90W/m2;T130 75W/m2;T130 100W/m2;T130 125W/m2;T130 > 150W/m2
januar;Januar;18,83;18,71;18,61;18,38;18,16;18,05;17,99;17,97;17,95;18,99;18,87;18,77;18,54;18,31;18,2;18,15;18,12;18,11;19,14;19,02;18,92;18,68;18,45;18,34;18,29;18,26;18,25
februar;Februar;18,88;18,76;18,67;18,44;18,23;18,13;18,08;18,05;18,04;19,04;18,93;18,83;18,6;18,39;18,29;18,23;18,21;18,2;19,18;19,07;18,97;18,74;18,53;18,42;18,37;18,34;18,33
maerz;Maerz;19,05;18,95;18,87;18,68;18,5;18,42;18,37;18,35;18,34;19,19;19,09;19,01;18,82;18,64;18,55;18,51;18,49;18,48;19,31;19,21;19,13;18,94;18,75;18,67;18,62;18,6;18,59
april;April;19,33;19,26;19,2;19,07;18,94;18,88;18,85;18,84;18,83;19,43;19,36;19,3;19,17;19,04;18,98;18,95;18,93;18,92;19,51;19,44;19,38;19,25;19,12;19,06;19,03;19,01;19
mai;Mai;19,63;19,6;19,56;19,49;19,42;19,39;19,37;19,36;19,36;19,69;19,65;19,62;19,55;19,48;19,44;19,42;19,42;19,41;19,73;19,7;19,66;19,59;19,52;19,49;19,47;19,46;19,46
juni;Juni;19,8;19,77;19,76;19,72;19,68;19,66;19,65;19,64;19,64;19,83;19,8;19,79;19,75;19,71;19,69;19,68;19,67;19,67;19,85;19,83;19,81;19,77;19,73;19,71;19,7;19,7;19,7
juli;Juli;19,94;19,93;19,93;19,91;19,9;19,9;19,89;19,89;19,89;19,95;19,94;19,94;19,92;19,91;19,91;19,9;19,9;19,9;19,95;19,95;19,94;19,93;19,92;19,91;19,91;19,91;19,91
august;August;19,91;19,9;19,9;19,88;19,86;19,86;19,85;19,85;19,85;19,93;19,92;19,91;19,89;19,88;19,87;19,86;19,86;19,86;19,94;19,93;19,92;19,9;19,89;19,88;19,87;19,87;19,87
september;September;19,65;19,61;19,58;19,51;19,44;19,41;19,39;19,39;19,38;19,7;19,66;19,63;19,56;19,49;19,46;19,44;19,44;19,43;19,74;19,71;19,68;19,6;19,54;19,5;19,49;19,48;19,47
oktober;Oktober;19,35;19,28;19,23;19,1;18,97;18,91;18,88;18,87;18,86;19,44;19,38;19,32;19,19;19,07;19,01;18,98;18,96;18,95;19,53;19,46;19,4;19,27;19,15;19,08;19,05;19,04;19,03
november;November;19,01;18,91;18,83;18,63;18,45;18,35;18,31;18,29;18,28;19,16;19,06;18,97;18,77;18,59;18,49;18,45;18,43;18,42;19,28;19,18;19,09;18,9;18,71;18,61;18,57;18,55;18,53
dezember;Dezember;18,83;18,71;18,61;18,38;18,15;18,04;17,99;17,96;17,95;18,99;18,87;18,76;18,53;18,3;18,19;18,14;18,11;18,1;19,14;19,02;18,91;18,67;18,45;18,33;18,28;18,25;18,24
