Bezeichnung (intern);Monat;T50 Ohne Teilbeheizung;T50 < 5W/m2;T50 10W/m2;T50 25W/m2;T50 50W/m2;T50 75W/m2;T50 100W/m2;T50 125W/m2;T50 > 150W/m2;T90 Ohne Teilbeheizung;T90 < 5W/m2;T90 10W/m2;T90 25W/m2;T90 90W/m2;T90 75W/m2;T90 100W/m2;T90 125W/m2;T90 > 150W/m2;T130 Ohne Teilbeheizung;T130 < 5W/m2;T130 10W/m2;T130 25W/m2;T130 90W/m2;T130 75W/m2;T130 100W/m2;T130 125W/m2;T130 > 150W/m2
januar;Januar;19,41;19,37;19,33;19,24;19,16;19,12;19,1;19,09;19,08;19,5;19,45;19,41;19,33;19,24;19,2;19,18;19,17;19,17;19,57;19,53;19,49;19,4;19,32;19,28;19,26;19,25;19,24
februar;Februar;19,44;19,4;19,36;19,28;19,2;19,16;19,14;19,13;19,13;19,52;19,48;19,44;19,36;19,28;19,24;19,22;19,21;19,21;19,59;19,55;19,51;19,43;19,35;19,31;19,29;19,28;19,28
maerz;Maerz;19,53;19,49;19,46;19,39;19,32;19,29;19,27;19,27;19,26;19,6;19,56;19,53;19,46;19,39;19,36;19,34;19,33;19,33;19,66;19,62;19,59;19,52;19,45;19,42;19,4;19,39;19,39
april;April;19,66;19,64;19,62;19,57;19,52;19,5;19,49;19,48;19,48;19,71;19,69;19,67;19,62;19,57;19,55;19,54;19,53;19,53;19,76;19,73;19,71;19,66;19,61;19,59;19,58;19,57;19,57
mai;Mai;19,82;19,8;19,79;19,76;19,74;19,73;19,72;19,72;19,72;19,84;19,83;19,82;19,79;19,77;19,75;19,75;19,74;19,74;19,87;19,85;19,84;19,81;19,79;19,78;19,77;19,77;19,76
juni;Juni;19,9;19,89;19,88;19,87;19,85;19,85;19,84;19,84;19,84;19,91;19,91;19,9;19,88;19,87;19,86;19,86;19,86;19,86;19,93;19,92;19,91;19,9;19,88;19,87;19,87;19,87;19,87
juli;Juli;19,97;19,97;19,96;19,96;19,96;19,95;19,95;19,95;19,95;19,97;19,97;19,97;19,96;19,96;19,96;19,96;19,96;19,96;19,98;19,98;19,97;19,97;19,96;19,96;19,96;19,96;19,96
august;August;19,96;19,95;19,95;19,94;19,94;19,93;19,93;19,93;19,93;19,96;19,96;19,96;19,95;19,94;19,94;19,94;19,94;19,94;19,97;19,97;19,96;19,96;19,95;19,95;19,95;19,94;19,94
september;September;19,82;19,81;19,8;19,77;19,75;19,74;19,73;19,73;19,73;19,85;19,84;19,82;19,8;19,77;19,76;19,76;19,75;19,75;19,87;19,86;19,85;19,82;19,8;19,78;19,78;19,77;19,77
oktober;Oktober;19,67;19,65;19,63;19,58;19,53;19,51;19,5;19,5;19,49;19,72;19,7;19,68;19,63;19,58;19,56;19,55;19,54;19,54;19,76;19,74;19,72;19,67;19,62;19,6;19,59;19,58;19,58
november;November;19,51;19,47;19,44;19,36;19,3;19,26;19,25;19,24;19,23;19,58;19,54;19,51;19,44;19,37;19,33;19,32;19,31;19,3;19,64;19,6;19,57;19,5;19,43;19,39;19,38;19,37;19,37
dezember;Dezember;19,41;19,36;19,32;19,24;19,15;19,11;19,09;19,08;19,08;19,49;19,45;19,41;19,32;19,24;19,2;19,18;19,17;19,16;19,57;19,52;19,49;19,4;19,31;19,27;19,25;19,24;19,24
