id;Auslegungstemperatur;Nennleistung Fernwärmestation;b h,g 0,1;b h,g 0,2;b h,g 0,3;b h,g 0,4;b h,g 0,5;b h,g 0,6;b h,g 0,7;b h,g 0,8;b h,g 0,9;b h,g 1,0
ww_nt_pt_105_ubh_90_70_bis_30;90_70;bis 30 kW;1;1;1;1;1;1;1;1,001;1,001;1,001
ww_nt_pt_105_ubh_90_70_ab_30;90_70;ab 30 kW;1;1;1;1;1;1;1;1;1;1
ww_nt_pt_105_ubh_70_55_alle;70_55;fuer alle Leistungen;1;1;1;1;1;1;1;1;1;1
ww_nt_pt_105_ubh_55_45_bis_alle;55_45;fuer alle Leistungen;1;1;1;1;1;1;1;1;1;1
ww_nt_pt_105_ubh_35_28_bis_30;35_38;bis 30 kW;1;1;1;0,999;0,999;0,999;0,999;0,999;0,999;0,999
ww_nt_pt_105_ubh_35_28_ab_30;35_38;ab 30 kW;1;1;1;1;1;1;1;1;1;1
ww_nt_pt_105_bh_90_70_bis_30;90_70;bis 30 kW;0,999;1;1;1;1;1;1;1;1;1
ww_nt_pt_105_bh_90_70_ab_30;90_70;ab 30 kW;1;1;1;1;1;1;1;1;1;1
ww_nt_pt_105_bh_70_55_bis_30;70_55;bis 30 kW;0,999;0,999;0,999;0,999;0,999;0,999;0,999;0,999;0,999;0,999
ww_nt_pt_105_bh_70_55_ab_30;70_55;ab 30 kW;1;1;1;1;1;1;1;1;1;1
ww_nt_pt_105_bh_55_45_bis_30;55_45;bis 30 kW;0,999;0,999;0,999;0,999;0,999;0,999;0,999;0,999;0,999;0,999
ww_nt_pt_105_bh_55_45_ab_30;55_45;ab 30 kW;1;1;1;1;1;1;1;1;1;1
ww_nt_pt_105_bh_35_28_bis_30;35_38;bis 30 kW;0,999;0,999;0,999;0,999;0,999;0,999;0,998;0,998;0,998;0,998
ww_nt_pt_105_bh_35_28_30_100;35_38;30 kW bis  100 kW;1;1;1;1;1;1;1;1;0,999;0,999
ww_nt_pt_105_bh_35_28_ab_100;35_38;ab 100 kW;1;1;1;1;1;1;1;1;1;1
ww_nt_pt_150_ubh_90_70_bis_30;90_70;bis 30 kW;1;1;1;1;1;1,001;1,001;1,001;1,001;1,001
ww_nt_pt_150_ubh_90_70_ab_30;90_70;ab 30 kW;1;1;1;1;1;1;1;1;1;1
ww_nt_pt_150_ubh_70_55_alle;70_55;fuer alle Leistungen;1;1;1;1;1;1;1;1;1;1
ww_nt_pt_150_ubh_55_45_bis_30;55_45;bis 30 kW;1;1;1;1;1;1;1;0,999;0,999;0,999
ww_nt_pt_150_ubh_55_45_ab_30;55_45;ab 30 kW;1;1;1;1;1;1;1;1;1;1
ww_nt_pt_150_ubh_35_28_bis_30;35_38;bis 30 kW;1;1;0,999;0,999;0,999;0,999;0,999;0,999;0,999;0,998
ww_nt_pt_150_ubh_35_28_ab_30;35_38;ab 30 kW;1;1;1;1;1;1;1;1;1;1
ww_nt_pt_150_bh_90_70_alle;90_70;fuer alle Leistungen;1;1;1;1;1;1;1;1;1;1
ww_nt_pt_150_bh_70_55_bis_30;70_55;bis 30 kW;0,999;0,999;0,999;0,999;0,999;0,999;0,999;0,999;0,999;0,999
ww_nt_pt_150_bh_70_55_ab_30;70_55;ab 30 kW;1;1;1;1;1;1;1;1;1;1
ww_nt_pt_150_bh_55_45_bis_30;55_45;bis 30 kW;0,999;0,999;0,999;0,999;0,999;0,999;0,999;0,999;0,999;0,999
ww_nt_pt_150_bh_55_45_ab_30;55_45;ab 30 kW;1;1;1;1;1;1;1;1;1;1
ww_nt_pt_150_bh_35_28_bis_30;35_38;bis 30 kW;0,999;0,999;0,999;0,999;0,999;0,998;0,998;0,998;0,998;0,998
ww_nt_pt_150_bh_35_28_30_100;35_38;30 kW bis  100 kW;1;1;1;1;1;1;0,999;0,999;0,999;0,999
ww_nt_pt_150_bh_35_28_100;35_38;ab 100 kW;1;1;1;1;1;1;1;1;1;1
