kW;b h,g 0,1;b h,g 0,2;b h,g 0,3;b h,g 0,4;b h,g 0,5;b h,g 0,6;b h,g 0,7;b h,g 0,8;b h,g 0,9;b h,g 1,0
5;1,008;1,009;1,009;1,009;1,009;1,009;1,01;1,01;1,01;1,01
10;1,005;1,005;1,006;1,006;1,006;1,006;1,006;1,006;1,006;1,006
20;1,003;1,003;1,004;1,004;1,004;1,004;1,004;1,004;1,004;1,004
30;1,003;1,003;1,003;1,003;1,003;1,003;1,003;1,003;1,003;1,003
40;1,002;1,002;1,002;1,002;1,002;1,002;1,002;1,002;1,003;1,003
50;1,002;1,002;1,002;1,002;1,002;1,002;1,002;1,002;1,002;1,002
60;1,002;1,002;1,002;1,002;1,002;1,002;1,002;1,002;1,002;1,002
70;1,001;1,001;1,002;1,002;1,002;1,002;1,002;1,002;1,002;1,002
80;1,001;1,001;1,001;1,001;1,001;1,001;1,002;1,002;1,002;1,002
90;1,001;1,001;1,001;1,001;1,001;1,001;1,001;1,001;1,001;1,001
100;1,001;1,001;1,001;1,001;1,001;1,001;1,001;1,001;1,001;1,001
200;1,001;1,001;1,001;1,001;1,001;1,001;1,001;1,001;1,001;1,001
300;1,001;1,001;1,001;1,001;1,001;1,001;1,001;1,001;1,001;1,001
400;1;1;1;1;1,001;1,001;1,001;1,001;1,001;1,001
