Bezeichnung (intern);Monat;T50 Ohne Teilbeheizung;T50 < 5W/m2;T50 10W/m2;T50 25W/m2;T50 50W/m2;T50 75W/m2;T50 100W/m2;T50 125W/m2;T50 > 150W/m2;T90 Ohne Teilbeheizung;T90 < 5W/m2;T90 10W/m2;T90 25W/m2;T90 90W/m2;T90 75W/m2;T90 100W/m2;T90 125W/m2;T90 > 150W/m2;T130 Ohne Teilbeheizung;T130 < 5W/m2;T130 10W/m2;T130 25W/m2;T130 90W/m2;T130 75W/m2;T130 100W/m2;T130 125W/m2;T130 > 150W/m2
januar;Januar;0,557;0,554;0,55;0,543;0,536;0,533;0,531;0,53;0,53;0,562;0,559;0,555;0,548;0,541;0,538;0,536;0,535;0,535;0,567;0,563;0,56;0,553;0,545;0,542;0,54;0,539;0,539
februar;Februar;0,531;0,527;0,524;0,517;0,51;0,507;0,506;0,505;0,504;0,536;0,532;0,529;0,522;0,515;0,512;0,51;0,51;0,509;0,54;0,537;0,533;0,526;0,52;0,516;0,515;0,514;0,513
maerz;Maerz;0,448;0,445;0,443;0,437;0,431;0,429;0,427;0,427;0,426;0,453;0,45;0,447;0,441;0,436;0,433;0,431;0,431;0,43;0,457;0,454;0,451;0,445;0,439;0,436;0,435;0,434;0,434
april;April;0,317;0,314;0,313;0,308;0,305;0,303;0,302;0,301;0,301;0,32;0,318;0,316;0,311;0,307;0,306;0,305;0,304;0,304;0,322;0,32;0,318;0,314;0,31;0,308;0,307;0,307;0,306
mai;Mai;0,173;0,172;0,171;0,169;0,166;0,165;0,165;0,165;0,164;0,175;0,173;0,172;0,17;0,168;0,167;0,166;0,166;0,166;0,176;0,175;0,174;0,172;0,169;0,168;0,168;0,168;0,167
juni;Juni;0,097;0,096;0,096;0,094;0,093;0,092;0,092;0,092;0,092;0,098;0,097;0,096;0,095;0,094;0,093;0,093;0,093;0,093;0,098;0,098;0,097;0,096;0,095;0,094;0,094;0,094;0,094
juli;Juli;0,029;0,029;0,029;0,029;0,028;0,028;0,028;0,028;0,028;0,03;0,029;0,029;0,029;0,028;0,028;0,028;0,028;0,028;0,03;0,03;0,029;0,029;0,029;0,029;0,028;0,028;0,028
august;August;0,041;0,041;0,041;0,04;0,039;0,039;0,039;0,039;0,039;0,041;0,041;0,041;0,04;0,04;0,04;0,039;0,039;0,039;0,042;0,041;0,041;0,041;0,04;0,04;0,04;0,04;0,04
september;September;0,167;0,166;0,165;0,163;0,161;0,16;0,159;0,159;0,159;0,169;0,168;0,167;0,164;0,162;0,161;0,161;0,161;0,16;0,17;0,169;0,168;0,166;0,164;0,163;0,162;0,162;0,162
oktober;Oktober;0,308;0,306;0,304;0,3;0,296;0,294;0,293;0,293;0,293;0,311;0,309;0,307;0,303;0,299;0,297;0,296;0,296;0,295;0,313;0,311;0,309;0,305;0,301;0,3;0,299;0,298;0,298
november;November;0,466;0,463;0,46;0,454;0,448;0,445;0,444;0,443;0,443;0,471;0,467;0,465;0,459;0,453;0,45;0,448;0,448;0,447;0,474;0,471;0,469;0,462;0,456;0,454;0,452;0,451;0,451
dezember;Dezember;0,56;0,557;0,553;0,546;0,539;0,536;0,534;0,533;0,533;0,565;0,562;0,558;0,551;0,544;0,54;0,539;0,538;0,537;0,57;0,566;0,563;0,555;0,548;0,545;0,543;0,542;0,542
