Bezeichnung (intern);Monat;T50 Ohne Teilbeheizung;T50 < 5W/m2;T50 10W/m2;T50 25W/m2;T50 50W/m2;T50 75W/m2;T50 100W/m2;T50 125W/m2;T50 > 150W/m2;T90 Ohne Teilbeheizung;T90 < 5W/m2;T90 10W/m2;T90 25W/m2;T90 90W/m2;T90 75W/m2;T90 100W/m2;T90 125W/m2;T90 > 150W/m2;T130 Ohne Teilbeheizung;T130 < 5W/m2;T130 10W/m2;T130 25W/m2;T130 90W/m2;T130 75W/m2;T130 100W/m2;T130 125W/m2;T130 > 150W/m2
januar;Januar;0,575;0,574;0,573;0,57;0,567;0,566;0,566;0,565;0,565;0,578;0,577;0,575;0,573;0,57;0,569;0,568;0,568;0,568;0,58;0,579;0,578;0,575;0,572;0,571;0,571;0,57;0,57
februar;Februar;0,548;0,547;0,546;0,543;0,541;0,539;0,539;0,538;0,538;0,551;0,549;0,548;0,546;0,543;0,542;0,541;0,541;0,541;0,553;0,552;0,55;0,548;0,545;0,544;0,543;0,543;0,543
maerz;Maerz;0,463;0,462;0,461;0,459;0,457;0,456;0,455;0,455;0,455;0,465;0,464;0,463;0,461;0,459;0,458;0,458;0,457;0,457;0,467;0,466;0,465;0,463;0,461;0,46;0,459;0,459;0,459
april;April;0,327;0,326;0,326;0,324;0,323;0,322;0,321;0,321;0,321;0,329;0,328;0,327;0,326;0,324;0,323;0,323;0,323;0,323;0,33;0,329;0,328;0,327;0,325;0,325;0,324;0,324;0,324
mai;Mai;0,179;0,178;0,178;0,177;0,176;0,176;0,176;0,176;0,175;0,179;0,179;0,179;0,178;0,177;0,177;0,176;0,176;0,176;0,18;0,18;0,179;0,179;0,178;0,177;0,177;0,177;0,177
juni;Juni;0,1;0,1;0,099;0,099;0,099;0,098;0,098;0,098;0,098;0,1;0,1;0,1;0,099;0,099;0,099;0,099;0,099;0,099;0,101;0,101;0,1;0,1;0,099;0,099;0,099;0,099;0,099
juli;Juli;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,031;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03
august;August;0,042;0,042;0,042;0,042;0,042;0,042;0,042;0,042;0,042;0,043;0,042;0,042;0,042;0,042;0,042;0,042;0,042;0,042;0,043;0,043;0,043;0,042;0,042;0,042;0,042;0,042;0,042
september;September;0,173;0,172;0,172;0,171;0,17;0,17;0,17;0,17;0,17;0,173;0,173;0,173;0,172;0,171;0,171;0,17;0,17;0,17;0,174;0,174;0,173;0,173;0,172;0,171;0,171;0,171;0,171
oktober;Oktober;0,318;0,317;0,317;0,315;0,314;0,313;0,313;0,312;0,312;0,319;0,319;0,318;0,317;0,315;0,314;0,314;0,314;0,314;0,321;0,32;0,319;0,318;0,316;0,316;0,315;0,315;0,315
november;November;0,481;0,48;0,479;0,477;0,475;0,474;0,473;0,473;0,473;0,484;0,483;0,482;0,479;0,477;0,476;0,476;0,475;0,475;0,486;0,485;0,484;0,481;0,479;0,478;0,477;0,477;0,477
dezember;Dezember;0,578;0,577;0,576;0,573;0,57;0,569;0,569;0,568;0,568;0,581;0,58;0,578;0,576;0,573;0,572;0,571;0,571;0,571;0,583;0,582;0,581;0,578;0,575;0,574;0,574;0,573;0,573
