Bezeichnung (intern);Mittlere Belastung (bhs);90 (beheizt);90 (unbeheizt);70 (beheizt);70 (unbeheizt);55 (beheizt);55 (unbeheizt);35 (beheizt);35 (unbeheizt)
bhs_01;0,1;0,56;0,43;0,6;0,43;0,64;0,43;0,78;0,37
bhs_02;0,2;0,79;0,73;0,81;0,73;0,83;0,73;0,89;0,69
bhs_03;0,3;1;1;1;1;1;1;1;1
bhs_04;0,4;1,19;1,25;1,17;1,25;1,16;1,25;1,11;1,3
bhs_05;0,5;1,37;1,48;1,34;1,48;1,3;1,48;1,21;1,59
bhs_06;0,6;1,54;1,7;1,5;1,7;1,44;1,7;1,31;1,88
bhs_07;0,7;1,71;1,92;1,65;1,92;1,58;1,92;1,41;2,16
bhs_08;0,8;1,87;2,13;1,8;2,13;1,71;2,13;1,51;2,44
bhs_09;0,9;2,03;2,33;1,94;2,33;1,84;2,33;1,61;2,71
bhs_10;1;2,18;2,52;2,08;2,52;1,96;2,52;1,71;2,99
