pelletkessel_hilfsenergieaufwand
ID;Pn kW;b h,g 0,1;b h,g 0,2;b h,g 0,3;b h,g 0,4;b h,g 0,5;b h,g 0,6;b h,g 0,7;b h,g 0,8;b h,g 0,9;b h,g 1,0
pkh_5;<= 5;0,007;0,008;0,009;0,0149;0,0207;0,0266;0,0324;0,0383;0,0441;0,05
pkh_10;10;0,0107;0,0143;0,018;0,024;0,03;0,036;0,042;0,048;0,054;0,06
pkh_20;20;0,018;0,027;0,036;0,0423;0,0486;0,0549;0,0611;0,0674;0,0737;0,08
pkh_30;30;0,0253;0,0397;0,054;0,0606;0,0671;0,0737;0,0803;0,0869;0,0934;0,1
pkh_40;40;0,0327;0,0523;0,072;0,0789;0,0857;0,0926;0,0994;0,1063;0,1131;0,12
pkh_50;50;0,04;0,065;0,09;0,0971;0,1043;0,1114;0,1186;0,1257;0,1329;0,14
pkh_60;60;0,0473;0,0777;0,108;0,1154;0,1229;0,1303;0,1377;0,1451;0,1526;0,16
pkh_70;70;0,0547;0,0903;0,126;0,1337;0,1414;0,1491;0,1569;0,1646;0,1723;0,18
pkh_80;80;0,062;0,103;0,144;0,152;0,16;0,168;0,176;0,184;0,192;0,2
pkh_90;90;0,0693;0,1157;0,162;0,1703;0,1786;0,1869;0,1951;0,2034;0,2117;0,22
pkh_100;100;0,0767;0,1283;0,18;0,1886;0,1971;0,2057;0,2143;0,2229;0,2314;0,24
pkh_120;120;0,0913;0,1537;0,216;0,2251;0,2343;0,2434;0,2526;0,2617;0,2709;0,28
pkh_140;140;0,106;0,179;0,252;0,2617;0,2714;0,2811;0,2909;0,3006;0,3103;0,32
pkh_160;160;0,1207;0,2043;0,288;0,2983;0,3086;0,3189;0,3291;0,3394;0,3497;0,36
pkh_180;180;0,1353;0,2297;0,324;0,3349;0,3457;0,3566;0,3674;0,3783;0,3891;0,4
pkh_200;200;0,15;0,255;0,36;0,3714;0,3829;0,3943;0,4057;0,4171;0,4286;0,44
pkh_250;250;0,1867;0,3183;0,45;0,4629;0,4757;0,4886;0,5014;0,5143;0,5271;0,54
pkh_300;300;0,2233;0,3817;0,54;0,5543;0,5686;0,5829;0,5971;0,6114;0,6257;0,64
pkh_350;350;0,26;0,445;0,63;0,6457;0,6614;0,6771;0,6929;0,7086;0,7243;0,74
pkh_400;400;0,2967;0,5083;0,72;0,7371;0,7543;0,7714;0,7886;0,8057;0,8229;0,84
