Bezeichnung;Himmelsrichtung;Faktor;0 Grad (ab  1999);30 Grad (ab  1999);45 Grad (ab  1999);60 Grad (ab  1999);90 Grad (ab  1999);0 Grad (1990-1998);30 Grad (1990-1998);45 Grad (1990-1998);60 Grad (1990-1998);90 Grad (1990-1998);0 Grad (vor 1990);30 Grad (vor 1990);45 Grad (vor 1990);60 Grad (vor 1990);90 Grad (vor 1990)
NW_fAc;NW;fAc;0,984;1,147;1,598;2,2;4,156;1,154;1,345;1,968;2,75;4,795;1,45;1,655;2,397;3,4;5,844
NW_fQsol;NW;fQsol;0,885;0,867;0,892;0,899;0,837;0,874;0,881;0,918;0,893;0,678;0,869;0,597;0,877;0,828;0,503
W_fAc;W;fAc;0,984;1,184;1,417;1,7;2,968;1,154;1,438;1,716;2,055;3,979;1,45;1,781;2,125;2,634;5,343
W_fQsol;W;fQsol;0,885;0,961;0,987;0,962;0,808;0,874;0,974;0,973;0,923;0,741;0,869;0,947;0,928;0,872;0,582
SW_fAc;SW;fAc;0,984;1,045;1,14;1,299;2,429;1,154;1,238;1,336;1,558;2,968;1,45;1,545;1,655;1,948;4,065
SW_fQsol;SW;fQsol;0,885;0,973;0,997;0,979;0,912;0,874;0,965;0,967;0,949;0,929;0,869;0,948;0,931;0,9;0,671
S_fAc;S;fAc;0,984;0,917;1;1,12;1,989;1,154;1,063;1,161;1,326;2,309;1,45;1,299;1,427;1,64;2,791
S_fQsol;S;fQsol;0,885;0,943;1;0,99;0,89;0,874;0,923;0,976;0,966;0,761;0,869;0,902;0,951;0,925;0,601
SO_fAc;SO;fAc;0,984;0,935;1,033;1,14;1,948;1,154;1,087;1,214;1,355;2,461;1,45;1,336;1,496;1,685;3,463
SO_fQsol;SO;fQsol;0,885;0,923;0,989;0,963;0,881;0,874;0,901;0,971;0,939;0,819;0,869;0,879;0,942;0,898;0,75
O_fAc;O;fAc;0,984;0,995;1,12;1,355;2,562;1,154;1,169;1,326;1,655;3,4;1,45;1,438;1,67;2,174;5,054
O_fQsol;O;fQsol;0,885;0,803;0,806;0,819;0,799;0,874;0,781;0,778;0,796;0,74;0,869;0,752;0,75;0,768;0,642
NO_fAc;NO;fAc;0,984;1,107;1,45;1,989;4,349;1,154;1,299;1,748;2,562;5,844;1,45;1,598;2,309;3,596;7,792
NO_fQsol;NO;fQsol;0,885;0,852;0,844;0,864;0,911;0,874;0,853;0,836;0,881;0,824;0,869;0,849;0,858;0,897;0,612
N_fAc;N;fAc;0,984;1,161;1,731;3,463;4,675;1,154;1,355;2,149;3,979;5,343;1,45;1,685;2,877;4,675;6,448
N_fQsol;N;fQsol;0,885;0,95;0,957;1,215;0,892;0,874;0,985;1,015;1,136;0,785;0,869;1,048;1,105;1,027;0,738
