Bezeichnung (intern);Volumen;Beheizt mit Zirkulation;Beheizt ohne Zirkulation;Unbeheizt mit Zirkulation;Unbeheizt ohne Zirkulation
v_5;5;296;254;355;313
v_10;10;313;268;375;331
v_20;20;341;292;409;360
v_30;30;366;314;439;387
v_40;40;389;334;467;411
v_50;50;411;352;493;435
v_60;60;432;370;518;457
v_70;70;452;387;542;478
v_80;80;471;404;566;498
v_90;90;490;420;588;518
v_100;100;509;436;611;538
v_150;150;595;510;714;629
v_200;200;675;579;810;714
v_300;300;823;705;988;870
v_400;400;960;822;1151;1014
v_500;500;1088;933;1306;1150
v_600;600;1211;1038;1454;1280
v_700;700;1330;1140;1595;1406
v_800;800;1444;1238;1733;1527
v_900;900;1555;1333;1866;1644
v_1000;1000;1664;1426;1996;1759
v_1500;1500;1888;1619;2266;1996
